batch,torch_primary_us,torch_kernels_per_call,torch_kernel_type,torch_all_device_us,torch_kernel_name,ascendc_primary_us,ascendc_kernels_per_call,ascendc_kernel_type,ascendc_all_device_us,ascendc_kernel_name,pypto_primary_us,pypto_kernels_per_call,pypto_kernel_type,pypto_all_device_us,pypto_kernel_name
1,13.52,3.0,KERNEL_AIVEC,282.673,aclnnLogicalOr_LogicalOrAiCore_LogicalOr,9.28,7.0,KERNEL_AIVEC,15.918,or_kernel,204.52,3.01,KERNEL_MIX_AIC,190.687,PYPTO_or_kernel
2,11.28,3.0,KERNEL_AIVEC,351.641,aclnnLogicalOr_LogicalOrAiCore_LogicalOr,11.1,7.0,KERNEL_AIVEC,17.842,or_kernel,196.9,3.01,KERNEL_MIX_AIC,189.207,PYPTO_or_kernel
4,13.12,3.0,KERNEL_AIVEC,484.56,aclnnLogicalOr_LogicalOrAiCore_LogicalOr,13.92,7.0,KERNEL_AIVEC,20.727,or_kernel,227.28,3.01,KERNEL_MIX_AIC,190.368,PYPTO_or_kernel
8,23.06,3.0,KERNEL_AIVEC,778.781,aclnnLogicalOr_LogicalOrAiCore_LogicalOr,15.44,7.0,KERNEL_AIVEC,24.886,or_kernel,219.88,3.01,KERNEL_MIX_AIC,200.265,PYPTO_or_kernel
16,28.0,3.0,KERNEL_AIVEC,1194.264,aclnnLogicalOr_LogicalOrAiCore_LogicalOr,14.26,7.0,KERNEL_AIVEC,34.299,or_kernel,235.58,3.01,KERNEL_MIX_AIC,218.277,PYPTO_or_kernel
32,31.98,3.0,KERNEL_AIVEC,2126.646,aclnnLogicalOr_LogicalOrAiCore_LogicalOr,15.16,7.0,KERNEL_AIVEC,52.492,or_kernel,255.3,3.01,KERNEL_MIX_AIC,253.296,PYPTO_or_kernel
64,39.02,3.0,KERNEL_AIVEC,4473.417,aclnnLogicalOr_LogicalOrAiCore_LogicalOr,23.78,7.0,KERNEL_AIVEC,87.054,or_kernel,265.66,3.01,KERNEL_MIX_AIC,291.056,PYPTO_or_kernel
