batch,torch_kernel_type,torch_us,ascendc_kernel_type,ascendc_us,pypto_compute_type,pypto_compute_us,pypto_executor_us,pypto_total_us,fastest
1,KERNEL_AIVEC,3.876,KERNEL_AIVEC,3.14,KERNEL_MIX_AIC,57.703,119.691,177.394,ascendc
2,KERNEL_AIVEC,3.952,KERNEL_AIVEC,3.533,KERNEL_MIX_AIC,57.072,117.112,174.185,ascendc
4,KERNEL_AIVEC,4.225,KERNEL_AIVEC,4.035,KERNEL_MIX_AIC,59.594,117.355,176.95,ascendc
8,KERNEL_AIVEC,4.843,KERNEL_AIVEC,4.866,KERNEL_MIX_AIC,66.751,125.865,192.616,torch
16,KERNEL_AIVEC,6.039,KERNEL_AIVEC,6.687,KERNEL_MIX_AIC,93.186,161.424,254.61,torch
32,KERNEL_AIVEC,8.184,KERNEL_AIVEC,10.432,KERNEL_MIX_AIC,136.389,202.189,338.578,torch
64,KERNEL_AIVEC,12.523,KERNEL_AIVEC,17.643,KERNEL_MIX_AIC,207.025,289.043,496.068,torch
