operator,batch,impl,primary_kernel_us,all_dev_kernels_us,kpc,kernel_type,kernel_names
div,1,torch,21.8,52.525,7.0,KERNEL_AIVEC,aclnnDiv_RealDivAiCore_RealDiv
div,1,ascendc,18.64,89.753,7.0,KERNEL_AIVEC,div_kernel
div,2,torch,27.321,77.735,7.0,KERNEL_AIVEC,aclnnDiv_RealDivAiCore_RealDiv
div,2,ascendc,28.941,164.051,7.0,KERNEL_AIVEC,div_kernel
div,4,torch,33.041,127.573,7.0,KERNEL_AIVEC,aclnnDiv_RealDivAiCore_RealDiv
div,4,ascendc,50.941,319.831,7.0,KERNEL_AIVEC,div_kernel
div,8,torch,49.261,215.678,7.0,KERNEL_AIVEC,aclnnDiv_RealDivAiCore_RealDiv
div,8,ascendc,101.062,669.279,7.0,KERNEL_AIVEC,div_kernel
div,16,torch,75.341,403.688,7.0,KERNEL_AIVEC,aclnnDiv_RealDivAiCore_RealDiv
div,16,ascendc,156.763,1059.065,7.0,KERNEL_AIVEC,div_kernel
div,32,torch,126.203,1702.948,42.0,KERNEL_AIVEC,aclnnDiv_RealDivAiCore_RealDiv
div,32,ascendc,306.526,2097.675,7.0,KERNEL_AIVEC,div_kernel
