operator,batch,impl,kernel_type,kernels_per_call,kernel_names,primary_kernel_us,all_device_kernels_us,aicpu_us
add,8,pypto,KERNEL_AICPU|KERNEL_MIX_AIC,9.01,KERNEL_AICPU|PYPTO_add_binary_kernel,3251.265,528.198,371.703
add,16,torch,KERNEL_AIVEC,21.0,aclnnAdd_AddAiCore_Add,12.68,89.853,N/A
add,16,ascendc,KERNEL_AIVEC,7.0,add_kernel,22.54,50.342,N/A
add,16,pypto,KERNEL_AICPU|KERNEL_MIX_AIC,9.01,KERNEL_AICPU|PYPTO_add_binary_kernel,3169.763,569.455,393.08
add,32,torch,KERNEL_AIVEC,21.0,aclnnAdd_AddAiCore_Add,20.56,122.557,N/A
add,32,ascendc,KERNEL_AIVEC,7.0,add_kernel,33.381,83.864,N/A
add,32,pypto,KERNEL_AICPU|KERNEL_MIX_AIC,9.01,KERNEL_AICPU|PYPTO_add_binary_kernel,3220.444,645.057,434.231
add,64,torch,KERNEL_AIVEC,21.0,aclnnAdd_AddAiCore_Add,27.541,229.447,N/A
add,64,ascendc,KERNEL_AIVEC,7.0,add_kernel,54.601,150.813,N/A
add,64,pypto,KERNEL_AICPU|KERNEL_MIX_AIC,9.01,KERNEL_AICPU|PYPTO_add_binary_kernel,3189.184,778.684,517.744
div,1,torch,KERNEL_AIVEC,7.0,aclnnDiv_RealDivAiCore_RealDiv,21.8,52.525,N/A
div,1,ascendc,KERNEL_AIVEC,7.0,div_kernel,18.64,89.753,N/A
div,2,torch,KERNEL_AIVEC,7.0,aclnnDiv_RealDivAiCore_RealDiv,27.321,77.735,N/A
div,2,ascendc,KERNEL_AIVEC,7.0,div_kernel,28.941,164.051,N/A
div,4,torch,KERNEL_AIVEC,7.0,aclnnDiv_RealDivAiCore_RealDiv,33.041,127.573,N/A
div,4,ascendc,KERNEL_AIVEC,7.0,div_kernel,50.941,319.831,N/A
div,8,torch,KERNEL_AIVEC,7.0,aclnnDiv_RealDivAiCore_RealDiv,49.261,215.678,N/A
div,8,ascendc,KERNEL_AIVEC,7.0,div_kernel,101.062,669.279,N/A
div,16,torch,KERNEL_AIVEC,7.0,aclnnDiv_RealDivAiCore_RealDiv,75.341,403.688,N/A
div,16,ascendc,KERNEL_AIVEC,7.0,div_kernel,156.763,1059.065,N/A
div,32,torch,KERNEL_AIVEC,42.0,aclnnDiv_RealDivAiCore_RealDiv,126.203,1702.948,N/A
div,32,ascendc,KERNEL_AIVEC,7.0,div_kernel,306.526,2097.675,N/A
