batch,torch_primary_us,torch_kernels_per_call,torch_kernel_type,torch_all_device_us,torch_kernel_name,ascendc_primary_us,ascendc_kernels_per_call,ascendc_kernel_type,ascendc_all_device_us,ascendc_kernel_name,pypto_primary_us,pypto_kernels_per_call,pypto_kernel_type,pypto_all_device_us,pypto_kernel_name
1,10.68,2.0,KERNEL_AIVEC,141.876,aclnnLogicalNot_LogicalNotAiCore_LogicalNot,8.16,7.0,KERNEL_AIVEC,14.882,not_kernel,118.84,3.01,KERNEL_MIX_AIC,194.53,PYPTO_not_kernel
2,11.26,2.0,KERNEL_AIVEC,177.149,aclnnLogicalNot_LogicalNotAiCore_LogicalNot,9.76,7.0,KERNEL_AIVEC,16.878,not_kernel,96.24,3.01,KERNEL_MIX_AIC,195.532,PYPTO_not_kernel
4,12.92,2.0,KERNEL_AIVEC,235.938,aclnnLogicalNot_LogicalNotAiCore_LogicalNot,12.12,7.0,KERNEL_AIVEC,19.605,not_kernel,97.14,3.01,KERNEL_MIX_AIC,195.232,PYPTO_not_kernel
8,19.94,2.0,KERNEL_AIVEC,381.888,aclnnLogicalNot_LogicalNotAiCore_LogicalNot,13.94,7.0,KERNEL_AIVEC,24.389,not_kernel,106.36,3.01,KERNEL_MIX_AIC,206.884,PYPTO_not_kernel
16,20.06,2.0,KERNEL_AIVEC,584.679,aclnnLogicalNot_LogicalNotAiCore_LogicalNot,11.36,7.0,KERNEL_AIVEC,33.389,not_kernel,129.26,3.01,KERNEL_MIX_AIC,229.871,PYPTO_not_kernel
32,26.42,2.0,KERNEL_AIVEC,1018.17,aclnnLogicalNot_LogicalNotAiCore_LogicalNot,14.16,7.0,KERNEL_AIVEC,51.188,not_kernel,159.78,3.01,KERNEL_MIX_AIC,280.904,PYPTO_not_kernel
64,34.12,2.0,KERNEL_AIVEC,1966.847,aclnnLogicalNot_LogicalNotAiCore_LogicalNot,21.22,7.0,KERNEL_AIVEC,86.468,not_kernel,199.74,3.01,KERNEL_MIX_AIC,345.219,PYPTO_not_kernel
