batch,torch_primary_us,torch_all_dev_us,torch_kptype,ascendc_primary_us,ascendc_all_dev_us,ascendc_kptype,pypto_compute_us,pypto_all_dev_us,pypto_kptype
1,10.04,57.793,KERNEL_AIVEC,13.78,18.944,KERNEL_AIVEC,136.03,462.9,KERNEL_MIX_AIC
2,11.08,58.601,KERNEL_AIVEC,19.26,22.919,KERNEL_AIVEC,139.345,471.404,KERNEL_MIX_AIC
4,10.86,62.929,KERNEL_AIVEC,17.68,26.264,KERNEL_AIVEC,144.892,485.146,KERNEL_MIX_AIC
8,10.42,72.519,KERNEL_AIVEC,14.94,33.378,KERNEL_AIVEC,156.495,528.198,KERNEL_MIX_AIC
16,12.68,89.853,KERNEL_AIVEC,22.54,50.342,KERNEL_AIVEC,176.376,569.455,KERNEL_MIX_AIC
32,20.56,122.557,KERNEL_AIVEC,33.381,83.864,KERNEL_AIVEC,210.826,645.057,KERNEL_MIX_AIC
64,27.541,229.447,KERNEL_AIVEC,54.601,150.813,KERNEL_AIVEC,260.94,778.684,KERNEL_MIX_AIC
